index,sent_lat,sent_lon,received_lat,received_lon,received_snr,received_rssi
11267,32.72125626,-117.1533813,32.75513654,-117.1533813,-8,-120
11268,32.723526,-117.1588287,32.71985075,-117.1588287,-14.19999981,-123
4164,32.72619247,-117.2290115,32.72869054,-117.2290115,-6.800000191,-119
3952,32.72620392,-117.2281494,32.73386694,-117.2281494,-14.80000019,-121
6241,32.72628784,-117.2282944,32.72869054,-117.2282944,-0.200000003,-113
4165,32.72642136,-117.2289047,32.72869054,-117.2289047,-5.5,-116
5229,32.72653198,-117.2285919,32.72869054,-117.2285919,-6.5,-121
5230,32.72655869,-117.2285233,32.72869054,-117.2285233,-10.80000019,-121
6205,32.72663879,-117.22789,32.72671525,-117.22789,-13,-127
3990,32.72665024,-117.2278519,32.72869054,-117.2278519,-6.199999809,-120
5193,32.72665024,-117.2280045,32.72869054,-117.2280045,-7.5,-118
6242,32.72665024,-117.2284622,32.72037261,-117.2284622,-5.199999809,-114
4004,32.72666931,-117.2284927,32.72869054,-117.2284927,-4.800000191,-119
3971,32.72667313,-117.2281647,32.73386694,-117.2281647,-12.80000019,-117
4185,32.72667694,-117.2273865,32.72869054,-117.2273865,13,-82
4184,32.72670746,-117.2274399,32.73386694,-117.2274399,-8,-114
3997,32.7267189,-117.2279968,32.72869054,-117.2279968,1,-110
6576,32.72672272,-117.2283707,32.72312371,-117.2283707,-9.800000191,-121
4183,32.72673035,-117.2275391,32.78897892,-117.2275391,-15.19999981,-128
5194,32.72673416,-117.228157,32.728128,-117.228157,-1.799999952,-113
6017,32.72673798,-117.2280273,32.73186885,-117.2280273,-18.20000076,-135
6577,32.72673798,-117.228363,32.72869054,-117.228363,4.5,-107
6240,32.72674179,-117.228447,32.7226324,-117.228447,-15.19999981,-131
4930,32.72674561,-117.2274094,32.73579456,-117.2274094,0,-107
5231,32.72674561,-117.2283783,32.72869054,-117.2283783,-2.200000048,-114
5248,32.72674942,-117.2282333,32.72869054,-117.2282333,-8,-120
6201,32.72674942,-117.228363,32.72037261,-117.228363,-6,-114
3989,32.72675323,-117.2278824,32.728128,-117.2278824,8.199999809,-100
6206,32.72675323,-117.2281036,32.728128,-117.2281036,7.5,-103
6356,32.72675323,-117.2284012,32.72312371,-117.2284012,-11.80000019,-123
3698,32.72675705,-117.2281876,32.72869054,-117.2281876,5.199999809,-105
3840,32.72676086,-117.2281418,32.72869054,-117.2281418,-2.5,-114
4148,32.72676086,-117.2283478,32.728128,-117.2283478,5.800000191,-101
6578,32.72676086,-117.2282944,32.72869054,-117.2282944,2,-107
5986,32.72676468,-117.2283707,32.73386694,-117.2283707,-15.19999981,-121
5987,32.72677231,-117.2282639,32.72037261,-117.2282639,-10.5,-115
6505,32.72677231,-117.228363,32.73386694,-117.228363,-13,-118
4127,32.72677612,-117.2284088,32.73386694,-117.2284088,-16.79999924,-121
5200,32.72677612,-117.2279739,32.72869054,-117.2279739,-9.199999809,-121
3926,32.72678375,-117.228508,32.728128,-117.228508,6,-100
5202,32.72678375,-117.2281799,32.72869054,-117.2281799,-8.199999809,-119
6204,32.72678375,-117.2278824,32.72869054,-117.2278824,2,-107
5195,32.72678757,-117.2281799,32.728128,-117.2281799,-3.799999952,-116
6330,32.72678757,-117.2280045,32.72312371,-117.2280045,-11.5,-120
6374,32.72678757,-117.2282867,32.72869054,-117.2282867,-0.800000012,-112
6251,32.72679138,-117.2281189,32.72312371,-117.2281189,-6.800000191,-120
3685,32.7267952,-117.2281799,32.72869054,-117.2281799,7,-102
4118,32.7267952,-117.2281952,32.728128,-117.2281952,8.5,-104
3950,32.72679901,-117.227829,32.72869054,-117.227829,-4.199999809,-117
6506,32.72679901,-117.228302,32.72312371,-117.228302,-11.5,-122
3837,32.72680283,-117.2282104,32.73386694,-117.2282104,-17,-119
4166,32.72680283,-117.228569,32.72869054,-117.228569,-10,-119
5255,32.72680283,-117.2286682,32.728128,-117.2286682,1.799999952,-110
5258,32.72680283,-117.2281189,32.728128,-117.2281189,-3.799999952,-117
5997,32.72680283,-117.2280807,32.72869054,-117.2280807,4.5,-107
3686,32.72680664,-117.228241,32.728128,-117.228241,-2.799999952,-114
4042,32.72680664,-117.2285156,32.73386694,-117.2285156,-15.80000019,-120
4147,32.72680664,-117.2283478,32.72869054,-117.2283478,0.200000003,-111
6087,32.72680664,-117.228241,32.72037261,-117.228241,-1.5,-113
6229,32.72680664,-117.227951,32.72452943,-117.227951,-12,-124
6331,32.72680664,-117.2279892,32.72312371,-117.2279892,-8.800000191,-122
6351,32.72680664,-117.2283325,32.72037261,-117.2283325,-4.5,-115
6528,32.72680664,-117.2284393,32.72869054,-117.2284393,-2,-113
6579,32.72681046,-117.2283096,32.72037261,-117.2283096,-3,-115
5241,32.72681427,-117.2282333,32.72869054,-117.2282333,-8,-121
5259,32.72681427,-117.2281494,32.728128,-117.2281494,-7.800000191,-119
6358,32.72681427,-117.2283096,32.728128,-117.2283096,4.5,-102
6381,32.72681427,-117.2283783,32.72312371,-117.2283783,-13,-122
4018,32.72681808,-117.2284012,32.73386694,-117.2284012,-15.19999981,-120
4116,32.72681808,-117.2282715,32.73386694,-117.2282715,-17,-121
6103,32.72681808,-117.228302,32.72869054,-117.228302,2.5,-110
6373,32.72681808,-117.228363,32.72869054,-117.228363,-4.800000191,-112
6401,32.72681808,-117.2283096,32.72869054,-117.2283096,-1,-114
3665,32.7268219,-117.2282791,32.72452943,-117.2282791,-16,-126
3857,32.7268219,-117.2280807,32.72671525,-117.2280807,-16.20000076,-131
3941,32.7268219,-117.2280197,32.72869054,-117.2280197,-6.5,-118
3970,32.7268219,-117.2281113,32.728128,-117.2281113,8.800000191,-101
4022,32.7268219,-117.2283096,32.72869054,-117.2283096,-10.80000019,-124
5186,32.7268219,-117.2280579,32.72869054,-117.2280579,-5.199999809,-117
5201,32.7268219,-117.2280731,32.72869054,-117.2280731,-3.799999952,-118
5970,32.7268219,-117.2282791,32.72869054,-117.2282791,4.800000191,-105
6353,32.7268219,-117.2283707,32.72869054,-117.2283707,-5,-114
6402,32.7268219,-117.2283859,32.72869054,-117.2283859,4,-107
3624,32.72682571,-117.2283325,32.72671525,-117.2283325,-16.5,-131
3697,32.72682571,-117.2281876,32.72869054,-117.2281876,-1.799999952,-114
3711,32.72682571,-117.2279205,32.72869054,-117.2279205,0,-112
3777,32.72682571,-117.2282028,32.728128,-117.2282028,2.5,-105
3886,32.72682571,-117.2281494,32.72869054,-117.2281494,-4.5,-114
4929,32.72682571,-117.2275238,32.77618126,-117.2275238,-12.19999981,-121
